season,team_id,team_nm,team_location,team_nm_location,team_location_abbreviation,conference,division
2009,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2010,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2011,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2012,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2013,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2014,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2015,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2016,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2017,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2018,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2019,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2020,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2021,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2022,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2023,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2024,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2025,23,Saints,New Orleans,New Orleans Saints,NO,NFC,West
2000,24,Giants,New York,New York Giants,NYG,NFC,East
2001,24,Giants,New York,New York Giants,NYG,NFC,East
2002,24,Giants,New York,New York Giants,NYG,NFC,East
2003,24,Giants,New York,New York Giants,NYG,NFC,East
2004,24,Giants,New York,New York Giants,NYG,NFC,East
2005,24,Giants,New York,New York Giants,NYG,NFC,East
2006,24,Giants,New York,New York Giants,NYG,NFC,East
2007,24,Giants,New York,New York Giants,NYG,NFC,East
2008,24,Giants,New York,New York Giants,NYG,NFC,East
2009,24,Giants,New York,New York Giants,NYG,NFC,East
2010,24,Giants,New York,New York Giants,NYG,NFC,East
2011,24,Giants,New York,New York Giants,NYG,NFC,East
2012,24,Giants,New York,New York Giants,NYG,NFC,East
2013,24,Giants,New York,New York Giants,NYG,NFC,East
2014,24,Giants,New York,New York Giants,NYG,NFC,East
2015,24,Giants,New York,New York Giants,NYG,NFC,East
2016,24,Giants,New York,New York Giants,NYG,NFC,East
2017,24,Giants,New York,New York Giants,NYG,NFC,East
2018,24,Giants,New York,New York Giants,NYG,NFC,East
2019,24,Giants,New York,New York Giants,NYG,NFC,East
2020,24,Giants,New York,New York Giants,NYG,NFC,East
2021,24,Giants,New York,New York Giants,NYG,NFC,East
2022,24,Giants,New York,New York Giants,NYG,NFC,East
2023,24,Giants,New York,New York Giants,NYG,NFC,East
2024,24,Giants,New York,New York Giants,NYG,NFC,East
2025,24,Giants,New York,New York Giants,NYG,NFC,East
2000,25,Jets,New York,New York Jets,NYJ,AFC,East
2001,25,Jets,New York,New York Jets,NYJ,AFC,East
2002,25,Jets,New York,New York Jets,NYJ,AFC,East
2003,25,Jets,New York,New York Jets,NYJ,AFC,East
2004,25,Jets,New York,New York Jets,NYJ,AFC,East
2005,25,Jets,New York,New York Jets,NYJ,AFC,East
2006,25,Jets,New York,New York Jets,NYJ,AFC,East
2007,25,Jets,New York,New York Jets,NYJ,AFC,East
2008,25,Jets,New York,New York Jets,NYJ,AFC,East
2009,25,Jets,New York,New York Jets,NYJ,AFC,East
2010,25,Jets,New York,New York Jets,NYJ,AFC,East
2011,25,Jets,New York,New York Jets,NYJ,AFC,East
2012,25,Jets,New York,New York Jets,NYJ,AFC,East
2013,25,Jets,New York,New York Jets,NYJ,AFC,East
2014,25,Jets,New York,New York Jets,NYJ,AFC,East
2015,25,Jets,New York,New York Jets,NYJ,AFC,East
2016,25,Jets,New York,New York Jets,NYJ,AFC,East
2017,25,Jets,New York,New York Jets,NYJ,AFC,East
2018,25,Jets,New York,New York Jets,NYJ,AFC,East
2019,25,Jets,New York,New York Jets,NYJ,AFC,East
2020,25,Jets,New York,New York Jets,NYJ,AFC,East
2021,25,Jets,New York,New York Jets,NYJ,AFC,East
2022,25,Jets,New York,New York Jets,NYJ,AFC,East
2023,25,Jets,New York,New York Jets,NYJ,AFC,East
2024,25,Jets,New York,New York Jets,NYJ,AFC,East
2025,25,Jets,New York,New York Jets,NYJ,AFC,East
2000,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2001,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2002,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2003,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2004,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2005,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2006,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2007,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2008,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2009,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2010,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2011,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2012,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2013,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2014,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2015,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2016,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2017,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2018,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2019,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2020,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2021,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2022,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2023,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2024,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2025,26,Eagles,Philadelphia,Philadelphia Eagles,PHI,NFC,East
2000,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,Central
2001,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,Central
2002,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2003,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2004,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2005,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2006,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2007,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2008,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2009,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2010,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2011,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2012,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2013,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2014,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2015,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2016,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2017,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2018,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2019,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2020,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2021,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2022,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2023,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2024,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2025,27,Steelers,Pittsburg,Pittsburg Steelers,PIT,AFC,North
2000,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2001,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2002,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2003,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2004,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2005,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2006,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2007,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2008,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2009,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2010,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2011,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2012,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2013,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2014,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2015,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2016,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2017,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2018,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2019,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2020,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2021,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2022,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2023,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2024,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2025,28,49ers,San Francisco,San Francisco 49ers,SF,NFC,West
2000,29,Seahawks,Seattle,Seattle Seahawks,SEA,AFC,West
2001,29,Seahawks,Seattle,Seattle Seahawks,SEA,AFC,West
2002,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2003,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2004,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2005,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2006,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2007,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2008,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2009,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2010,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2011,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2012,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2013,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2014,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2015,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2016,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2017,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2018,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2019,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2020,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2021,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2022,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2023,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2024,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2025,29,Seahawks,Seattle,Seattle Seahawks,SEA,NFC,West
2000,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,Central
2001,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,Central
2002,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2003,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2004,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2005,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2006,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2007,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2008,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2009,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2010,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2011,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2012,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2013,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2014,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2015,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2016,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2017,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2018,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2019,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2020,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2021,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2022,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2023,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2024,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2025,30,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,TB,NFC,South
2000,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,Central
2001,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,Central
2002,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2003,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2004,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2005,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2006,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2007,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2008,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2009,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2010,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2011,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2012,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2013,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2014,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2015,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2016,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2017,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2018,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2019,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2020,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2021,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2022,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2023,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2024,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2025,31,Titans,Tennesee,Tennesee Titans,TEN,AFC,South
2000,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2001,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2002,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2003,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2004,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2005,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2006,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2007,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2008,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2009,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2010,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2011,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2012,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2013,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2014,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2015,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2016,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2017,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2018,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2019,32,Redskins,Washington,Washington Redskins,WAS,NFC,East
2020,32,Football Team,Washington,Washington Football Team,WAS,NFC,East
2021,32,Football Team,Washington,Washington Football Team,WAS,NFC,East
2022,32,Commanders,Washington,Washington Commanders,WAS,NFC,East
2023,32,Commanders,Washington,Washington Commanders,WAS,NFC,East
2024,32,Commanders,Washington,Washington Commanders,WAS,NFC,East
2025,32,Commanders,Washington,Washington Commanders,WAS,NFC,East
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,
,,,, ,,,